name,display_name,is_active
Europe/Gibraltar,Europe/Gibraltar (GMT+1),true
Europe/Guernsey,Europe/Guernsey (GMT),true
Europe/Helsinki,Europe/Helsinki (GMT+2),true
Europe/Isle_of_Man,Europe/Isle_of_Man (GMT),true
Europe/Istanbul,Europe/Istanbul (GMT+3),true
Europe/Jersey,Europe/Jersey (GMT),true
Europe/Kaliningrad,Europe/Kaliningrad (GMT+2),true
Europe/Kiev,Europe/Kiev (GMT+2),true
Europe/Kirov,Europe/Kirov (GMT+3),true
Europe/Lisbon,Europe/Lisbon (GMT),true
Europe/Ljubljana,Europe/Ljubljana (GMT),true
Europe/London,Europe/London (GMT),true
Europe/Luxembourg,Europe/Luxembourg (GMT+1),true
Europe/Madrid,Europe/Madrid (GMT+1),true
Europe/Malta,Europe/Malta (GMT+1),true
Europe/Mariehamn,Europe/Mariehamn (GMT+2),true
Europe/Minsk,Europe/Minsk (GMT+3),true
Europe/Monaco,Europe/Monaco (GMT+1),true
Europe/Moscow,Europe/Moscow (GMT+3),true
Europe/Oslo,Europe/Oslo (GMT+1),true
Europe/Paris,Europe/Paris (GMT+1),true
Europe/Podgorica,Europe/Podgorica (GMT),true
Europe/Prague,Europe/Prague (GMT+1),true
Europe/Riga,Europe/Riga (GMT+2),true
Europe/Rome,Europe/Rome (GMT+1),true
Europe/Samara,Europe/Samara (GMT+4),true
Europe/San_Marino,Europe/San_Marino (GMT),true
Europe/Sarajevo,Europe/Sarajevo (GMT),true
Europe/Saratov,Europe/Saratov (GMT+4),true
Europe/Simferopol,Europe/Simferopol (GMT+3),true
Europe/Skopje,Europe/Skopje (GMT),true
Europe/Sofia,Europe/Sofia (GMT+2),true
Europe/Stockholm,Europe/Stockholm (GMT+1),true
Europe/Tallinn,Europe/Tallinn (GMT+2),true
Europe/Tirane,Europe/Tirane (GMT+1),true
Europe/Ulyanovsk,Europe/Ulyanovsk (GMT+4),true
Europe/Uzhgorod,Europe/Uzhgorod (GMT+2),true
Europe/Vaduz,Europe/Vaduz (GMT),true
Europe/Vatican,Europe/Vatican (GMT),true
Europe/Vienna,Europe/Vienna (GMT+1),true
Europe/Vilnius,Europe/Vilnius (GMT+2),true
Europe/Volgograd,Europe/Volgograd (GMT+4),true
Europe/Warsaw,Europe/Warsaw (GMT+1),true
Europe/Zagreb,Europe/Zagreb (GMT),true
Europe/Zaporozhye,Europe/Zaporozhye (GMT+2),true
Europe/Zurich,Europe/Zurich (GMT+1),true
Indian/Antananarivo,Indian/Antananarivo (GMT),true
Indian/Chagos,Indian/Chagos (GMT+6),true
Indian/Christmas,Indian/Christmas (GMT+7),true
Indian/Cocos,Indian/Cocos (GMT+6:30),true
Indian/Comoro,Indian/Comoro (GMT),true
Indian/Kerguelen,Indian/Kerguelen (GMT+5),true
Indian/Mahe,Indian/Mahe (GMT+4),true
Indian/Maldives,Indian/Maldives (GMT+5),true
Indian/Mauritius,Indian/Mauritius (GMT+4),true
Indian/Mayotte,Indian/Mayotte (GMT+3),true
Indian/Reunion,Indian/Reunion (GMT+4),true
Pacific/Apia,Pacific/Apia (GMT+13),true
Pacific/Auckland,Pacific/Auckland (GMT+13),true
Pacific/Bougainville,Pacific/Bougainville (GMT+11),true
